manufacturer,model,serial number,manufactured_date,device_type,_outlier_reason
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311069819GR,2011,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311184365GR,2011,Patient Monitor,
ZOLL Medical,M SERIES,T11D124677,April 2011,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,Propaq Md,AI11F001156,June 2011,"Dc-Defibrillator, Low-Energy, (Including Paddles)",
ZOLL Medical,R Series Plus,AF11L019703,December 2011,Defibrillator,
Covidien,RAPIDVAC,VL012301X,2012,"Apparatus, Exhaust, Surgical",
Covidien,RAPIDVAC,VL012165X,2012,"Apparatus, Exhaust, Surgical",
Covidien,RAPIDVAC,VL012164X,2012,"Apparatus, Exhaust, Surgical",
Edan Instruments,SE1200EXPRESS,460016-M12900650018,2012,ECG Machine,
Hillrom,P3200,J127AD6526,2012,Hospital Bed,
Welch Allyn,FILAC3000,A1257682,2012,Thermometer,
Welch Allyn,FILAC3000,A1262471,2012,Thermometer,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152525GA,2012,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312132106GR,2012,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152311GR,2012,Patient Monitor,
ZOLL Medical,M SERIES,T12B127729,February 2012,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T12B127735,February 2012,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T12L131022,December 2012,Automated External Defibrillators (Non-Wearable),
BIOSONIC,UC95,130402317,2013,Ultrasound Cleaner,
BIOSONIC,UC95D15,131100008,2013,Ultrasound Cleaner,
BIOSONIC,UC95D15,131100002,2013,Ultrasound Cleaner,
Hillrom,P3200,J134AT6928,2013,Hospital Bed,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230274GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA3132300157GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230430GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230464GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230676GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313219052GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230457GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230453GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313106097GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313127233GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230456GR,2013,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230407GR,2013,Patient Monitor,
ZOLL Medical,M SERIES,3T13D131852,April 2013,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T13D131863,April 2013,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T13D131879,April 2013,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,X Series,AR13L006530,December 2013,Automated External Defibrillators (Non-Wearable),
Edan Instruments,SE1200EXPRESS,M14B08690005,2014,ECG Machine,
Edan Instruments,IM50,M14104900003,2014,Patient Monitor,
Edan Instruments,IM50,3331333-M14900008,2014,Patient Monitor,
Edan Instruments,IM50,3331333-M14104900002,2014,Patient Monitor,
Edan Instruments,IM50,3331333-M14104900009,2014,Patient Monitor,
Hillrom,P3200,M140AD0664,2014,Hospital Bed,
Hillrom,P3200,J140AD7241,2014,Hospital Bed,
Hillrom,P3200,J140AD7236,2014,Hospital Bed,
Hillrom,P3200,J140AD7193,2014,Hospital Bed,
Unico,G380PL LED,G38L-20141208,2014,Centrifuge,
Welch Allyn,FILAC3000,A1451284X,2014,Thermometer,
GE HEALTHCARE,APEX PRO CH,RTS14024388GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RTS14104454GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RTS14104453GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RTS14104456GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RTS14104450GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166339GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166315GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166362GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166321GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166380GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166373GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166320GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166336GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166372GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914126176GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914166337GA,2014,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT914126178GA,2014,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314358024GA,2014,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314326586GA,2014,Patient Monitor,
ZOLL Medical,M SERIES,T14E133852,May 2014,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T14F133985,June 2014,Automated External Defibrillators (Non-Wearable),
Exergen,TAT5000,A1539272,2015,Thermometer,
Exergen,TAT5000,A1539493,2015,Thermometer,
Exergen,TAT5000,A1539059,2015,Thermometer,
Exergen,TAT5000,A1539490,2015,Thermometer,
Exergen,TAT5000,A1539270,2015,Thermometer,
Exergen,TAT5000,A1539277,2015,Thermometer,
Hillrom,P3200,M154AD1453,2015,Hospital Bed,
Welch Allyn,SPOT VITAL SIGNS,201507871,2015,"System, Measurement, Blood-Pressure, Non-Invasive",
Welch Allyn,SPOT VITAL SIGNS,201507902,2015,"System, Measurement, Blood-Pressure, Non-Invasive",
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315208552GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219009,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219102GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219007GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070015GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281904GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079992GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281909GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070003GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079984GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070002GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079980GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079977GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079989GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315058576GA,2015,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079799GA,2015,Patient Monitor,
ZOLL Medical,M SERIES,T15B135017,February 2015,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,Propaq Md,ai15c003871,March 2015,"Dc-Defibrillator, Low-Energy, (Including Paddles)",
ZOLL Medical,M SERIES,T15F135497,June 2015,Automated External Defibrillators (Non-Wearable),
Edan Instruments,SE1200EXPRESS,311094-M16611040004,2016,ECG Machine,
Edan Instruments,IM50,M16701760030,2016,Patient Monitor,
Edan Instruments,IM50,M16701760034,2016,Patient Monitor,
Edan Instruments,IM50,M16701760010,2016,Patient Monitor,
Edan Instruments,IM70,260066-M16901980001,2016,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M16603730016,2016,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M16600900014,2016,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Welch Allyn,FILAC3000,A1656130X,2016,Thermometer,
Welch Allyn,FILAC3000,A1661117X,2016,Thermometer,
Welch Allyn,FILAC3000,A1661082X,2016,Thermometer,
Welch Allyn,FILAC3000,A1661093X,2016,Thermometer,
Welch Allyn,FILAC3000,A1661114X,2016,Thermometer,
Welch Allyn,FILAC3000,A1656006X,2016,Thermometer,
Welch Allyn,FILAC3000,A1656212X,2016,Thermometer,
GE HEALTHCARE,APEX PRO CH,RT916162191SA,2016,Patient Monitor,
GE HEALTHCARE,APEX PRO CH,RT916059906GA,2016,Patient Monitor,
ZOLL Medical,M SERIES,D16B136583,February 2016,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T16B136570,February 2016,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,R Series ALS,AF16C054998,March 2016,Defibrillator,
ZOLL Medical,R Series ALS,AF16D055364,April 2016,Defibrillator,
ZOLL Medical,R Series ALS,AF16D055704,April 2016,Defibrillator,
ZOLL Medical,M SERIES,T16E136987,May 2016,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,R Series ALS,AF16H058404,August 2016,Defibrillator,
ZOLL Medical,R Series ALS,AF16H057957,August 2016,Defibrillator,
ZOLL Medical,R Series ALS,AF16H058410,August 2016,Defibrillator,
ZOLL Medical,R Series ALS,AF16H058183,August 2016,Defibrillator,
ZOLL Medical,R Series ALS,AF16L061223,December 2016,Defibrillator,
Cogentix Medical,CST-4000,CS1704F,2017,Endoscopy System,
Cogentix Medical,CST-4000,CS1705F,2017,Endoscopy System,
Edan Instruments,ELITEV5,M17902120005,2017,Patient Monitor,
Edan Instruments,ELITEV5,M17902120008,2017,Patient Monitor,
Edan Instruments,ELITEV5,M17902120007,2017,Patient Monitor,
Edan Instruments,IM50,M17602270005,2017,Patient Monitor,
Edan Instruments,IM50,M17602270003,2017,Patient Monitor,
Edan Instruments,IM50,M17101610022,2017,Patient Monitor,
Edan Instruments,IM50,M17101610039,2017,Patient Monitor,
Edan Instruments,IM50,M17101610030,2017,Patient Monitor,
Edan Instruments,IM50,M17A03210041,2017,Patient Monitor,
Hospira,PLUMA+,17432148,2017,Infusion Pump,
Hospira,PLUMA+,17434560,2017,Infusion Pump,
Hospira,PLUMA+,17441256,2017,Infusion Pump,
Hospira,PLUMA+,17434159,2017,Infusion Pump,
Hospira,PLUMA+,17433989,2017,Infusion Pump,
Hospira,PLUMA+,17434093,2017,Infusion Pump,
Hospira,PLUMA+,17434354,2017,Infusion Pump,
Hospira,PLUMA+,17441237,2017,Infusion Pump,
Hospira,PLUMA+,17434074,2017,Infusion Pump,
Hospira,PLUMA+,17434027,2017,Infusion Pump,
Hospira,PLUMA+,17441209,2017,Infusion Pump,
Hospira,PLUMA+,17434472,2017,Infusion Pump,
Hospira,PLUMA+,17434162,2017,Infusion Pump,
Hospira,PLUMA+,17434475,2017,Infusion Pump,
Hospira,PLUMA+,17434779,2017,Infusion Pump,
Hospira,PLUMA+,17434141,2017,Infusion Pump,
Hospira,PLUMA+,17434321,2017,Infusion Pump,
Hospira,PLUMA+,17434383,2017,Infusion Pump,
Hospira,PLUMA+,1744041,2017,Infusion Pump,
Hospira,PLUMA+,17434024,2017,Infusion Pump,
Hospira,PLUMA+,17434118,2017,Infusion Pump,
Hospira,PLUMA+,17440578,2017,Infusion Pump,
Hospira,PLUMA+,17440768,2017,Infusion Pump,
Hospira,PLUMA+,17434139,2017,Infusion Pump,
Hospira,PLUMA+,17433973,2017,Infusion Pump,
Hospira,PLUMA+,17434426,2017,Infusion Pump,
Hospira,PLUMA+,17434019,2017,Infusion Pump,
Hospira,PLUMA+,17433363,2017,Infusion Pump,
Hospira,PLUMA+,17434142,2017,Infusion Pump,
Hospira,PLUMA+,17434703,2017,Infusion Pump,
Hospira,PLUMA+,17434212,2017,Infusion Pump,
Hospira,PLUMA+,17434094,2017,Infusion Pump,
Hospira,PLUMA+,17433443,2017,Infusion Pump,
Hospira,PLUMA+,17434341,2017,Infusion Pump,
Hospira,PLUMA+,17441087,2017,Infusion Pump,
Hospira,PLUMA+,17440640,2017,Infusion Pump,
Hospira,PLUMA+,17434396,2017,Infusion Pump,
Hospira,PLUMA+,17434332,2017,Infusion Pump,
Hospira,PLUMA+,17434726,2017,Infusion Pump,
Hospira,PLUMA+,17434435,2017,Infusion Pump,
Hospira,PLUMA+,17434513,2017,Infusion Pump,
Hospira,PLUMA+,17434161,2017,Infusion Pump,
Hospira,PLUMA+,17434177,2017,Infusion Pump,
Hospira,PLUMA+,17434000,2017,Infusion Pump,
Hospira,PLUMA+,17431765,2017,Infusion Pump,
Hospira,PLUMA+,17434512,2017,Infusion Pump,
Hospira,PLUMA+,17433246,2017,Infusion Pump,
Hospira,PLUMA+,17434039,2017,Infusion Pump,
Hospira,PLUMA+,17432437,2017,Infusion Pump,
Hospira,PLUMA+,17434735,2017,Infusion Pump,
Hospira,PLUMA+,17434064,2017,Infusion Pump,
Hospira,PLUMA+,17441258,2017,Infusion Pump,
Hospira,PLUMA+,17441252,2017,Infusion Pump,
Hospira,PLUMA+,17441249,2017,Infusion Pump,
Hospira,PLUMA+,17441084,2017,Infusion Pump,
Hospira,PLUMA+,17480601,2017,Infusion Pump,
Hospira,PLUMA+,17434454,2017,Infusion Pump,
Hospira,PLUMA+,17451880,2017,Infusion Pump,
Stryker,1115,2017006701271,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701256,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701268,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701273,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701253,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701272,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701266,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701259,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701254,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701257,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
Stryker,1115,2017006701267,2017,"Radioimmunoassay, Testosterones And Dihydrotestosterone",
ZOLL Medical,X Series,AR17B023487,February 2017,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,R Series ALS,AF17D065076,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065023,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065078,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065063,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AV17D064978,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065082,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065057,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065077,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065075,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D064998,April 2017,Defibrillator,
ZOLL Medical,R Series ALS,AF17D065062,April 2017,Defibrillator,
ZOLL Medical,R Series,AF17D065064,April 2017,"Microfilter, Blood Transfusion",
Edan Instruments,SE1200EXPRESS,(21)460016-M18706470008,2018,ECG Machine,
Edan Instruments,IM50,M18709800015,2018,Patient Monitor,
Edan Instruments,IM70,M18414780039,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M18414780018,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M18414780026,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M18414780044,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M18414780027,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M18414780031,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M18414780047,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M18414780019,2018,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,iT20,M18909080003,2018,Patient Monitor,
THERMO SCIENTIFIC,SMARTVUE915,18175660D4C1,2018,Temperature Monitor,
THERMO SCIENTIFIC,SMARTVUE915,18175660D4D3,2018,Temperature Monitor,
THERMO SCIENTIFIC,SMARTVUE915,18175660CABF,2018,Temperature Monitor,
THERMO SCIENTIFIC,SMARTVUE915,18355660D0LE,2018,Temperature Monitor,
THERMO SCIENTIFIC,SMARTVUE915,18175660CB13,2018,Temperature Monitor,
THERMO SCIENTIFIC,SMARTVUE915,18175660CABC,2018,Temperature Monitor,
THERMO SCIENTIFIC,SMARTVUE915,181751606DFD,2018,Temperature Monitor,
Welch Allyn,FILAC3000,1863046X,2018,Thermometer,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SPX18510114SA,2018,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SPX18510041SA,2018,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA318200468SA,2018,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA318360435SA,2018,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SPX18500865SA,2018,Patient Monitor,
ZOLL Medical,X Series,AR18C030657,March 2018,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,AEDPLUS,X18E025923,May 2018,Defibrillator,
ZOLL Medical,X Series,AR18G033409,July 2018,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,R Series ALS,AF18L089149,December 2018,Defibrillator,
Edan Instruments,F9EXPRESS,M19804740024,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740020,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740011,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740025,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740005,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740015,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740016,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M1980570002,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740001,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740013,2019,Fetal Monitor,
Edan Instruments,F9EXPRESS,M19804740022,2019,Fetal Monitor,
Edan Instruments,ELITEV5,M19805320027,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19701080008,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19701080003,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19701080007,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19507110013,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19507110011,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19701080019,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320022,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19702060009,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320040,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320023,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320016,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320048,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320020,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320038,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320045,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320009,2019,Patient Monitor,
Edan Instruments,ELITEV5,M19805320026,2019,Patient Monitor,
Edan Instruments,IM50,M19110560012,2019,Patient Monitor,
Edan Instruments,IM50,M19100850023,2019,Patient Monitor,
Edan Instruments,IM50,M19100850015,2019,Patient Monitor,
Edan Instruments,IM50,M19100850029,2019,Patient Monitor,
Edan Instruments,IM50,M19100850033,2019,Patient Monitor,
Edan Instruments,IM50,M19100850017,2019,Patient Monitor,
Edan Instruments,IM50,M19100580024,2019,Patient Monitor,
Edan Instruments,IM50,M19100850001,2019,Patient Monitor,
Edan Instruments,IM70,M19805530018,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530004,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530017,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530014,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530019,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530008,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530010,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530016,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530003,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530011,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530006,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530005,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530007,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530001,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530013,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,M19805530002,2019,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,iT20,M19413150003,2019,Patient Monitor,
Edan Instruments,iT20,M19413130058,2019,Patient Monitor,
Edan Instruments,iT20,M19413150044,2019,Patient Monitor,
Edan Instruments,iT20,M19413150007,2019,Patient Monitor,
Edan Instruments,iT20,M19413130016,2019,Patient Monitor,
Edan Instruments,iT20,M19413130058,2019,Patient Monitor,
